status,title,company,location,date,tags,link,id,provider,query
new,Software Engineer 2,Juniper Networks,"Sunnyvale, CA 94089 (Lakewood area)",2020-01-15,"C , performance , debugging , networking , architecture , routing , Routing , field",https://www.indeed.com/viewjob?jk=fa5a1e5aff4f3aeb,fa5a1e5aff4f3aeb,indeed,Juniper Networks developer
new,Tool Development and Automation Engineer,Juniper Networks,"Sunnyvale, CA 94089 (Lakewood area)",2020-01-24,"Python , Shell , dynamic , build , scripting",https://www.indeed.com/viewjob?jk=5bfe44ea8ddb4347,5bfe44ea8ddb4347,indeed,Juniper Networks developer
new,Software Engineer 3,Juniper Networks,"Sunnyvale, CA 94089 (Lakewood area)",2020-01-16,"Python , algorithm , function , Perl , email , security , Security , debugging , networking , mobile , Service , build , automation , architecture , routing",https://www.indeed.com/viewjob?jk=a4dd61f770cd80c5,a4dd61f770cd80c5,indeed,Juniper Networks developer
new,Software Engineer 4,Juniper Networks,"Westford, MA 01886",2020-01-15,"git , class , debugging , testing , networking , service , automation , path , routing , set , embedded , IP , Label , buffer , Line",https://www.indeed.com/viewjob?jk=da946c47088d7dfe,da946c47088d7dfe,indeed,Juniper Networks developer
new,QA Engineer 4 - Infrastructure,Juniper Networks,"Cupertino, CA",2020-01-17,"Python , performance , testing , position , field",https://www.indeed.com/viewjob?jk=a72267bf54ce5d96,a72267bf54ce5d96,indeed,Juniper Networks developer
new,Software Engineer Sr. Staff,Juniper Networks,"Westford, MA 01886",2020-01-15,"C++ , C , debugging , embedded , IP , position , Line",https://www.indeed.com/viewjob?jk=ce95d94c0913efce,ce95d94c0913efce,indeed,Juniper Networks developer
new,Sr Software Engineer - API Development,Juniper Networks,"Cupertino, CA",2020-01-15,"Java , Python , rest , REST , Shell , Go , serialization , Redis , Cassandra , process , configuration , statistics , refactoring , operators",https://www.indeed.com/viewjob?jk=70133947ab06dbf5,70133947ab06dbf5,indeed,Juniper Networks developer
new,Software Engineer - Resident Engineer Sr TS/SCI with Polygra...,Juniper Networks,"Fort Meade, MD",2020-01-15,"Python , XML , database , performance , REST , API , security , networking , input , service , build , interface , automation , Automation , scope",https://www.indeed.com/viewjob?jk=515b115a5e139ee0,515b115a5e139ee0,indeed,Juniper Networks developer
new,Software Engineer Sr Staff - Networking ASIC Architecture Mo...,Juniper Networks,"Sunnyvale, CA 94089 (Lakewood area)",2020-02-12,"C++ , Linux , security , testing , networking , architecture , Architecture , frameworks , set",https://www.indeed.com/viewjob?jk=78d1f594deded96b,78d1f594deded96b,indeed,Juniper Networks developer
new,Intern: Software Engineering Contrail SDN,Juniper Networks,"Sunnyvale, CA 94089 (Lakewood area)",2020-02-11,"C++ , Linux , date , networking , build , get , cloud",https://www.indeed.com/viewjob?jk=a69e41a017f7e21e,a69e41a017f7e21e,indeed,Juniper Networks developer
new,Intern: Software Engineer Front End,Juniper Networks,"Sunnyvale, CA 94089 (Lakewood area)",2020-02-01,"Java , python , HTML , XML , Object , web , Web , architecture , cloud , microservices",https://www.indeed.com/viewjob?jk=37026c1cc4a0a2c8,37026c1cc4a0a2c8,indeed,Juniper Networks developer
new,Software Engineer 4 - Packet Forwarding,Juniper Networks,"Sunnyvale, CA 94089 (Lakewood area)",2020-02-12,"C , debugging , networking , interface , path , components , IP",https://www.indeed.com/viewjob?jk=cd8ba8e606578505,cd8ba8e606578505,indeed,Juniper Networks developer
new,Intern: Software Engineer  ML and Data Analytics,Juniper Networks,"Sunnyvale, CA 94089 (Lakewood area)",2020-01-15,"networking , service , build , command , field",https://www.indeed.com/viewjob?jk=b169b96daabd2007,b169b96daabd2007,indeed,Juniper Networks developer
new,Software Engineer,Juniper Networks,"Sunnyvale, CA 94089 (Lakewood area)",2020-01-15,"Ruby , performance , Docker , class , validation , security , testing , Web , service , deployment , build , scripting , architecture , routing , Frameworks",https://www.indeed.com/viewjob?jk=0f9868f54001aee0,0f9868f54001aee0,indeed,Juniper Networks developer
new,Intern: Network Security Software Engineer,Juniper Networks,"Sunnyvale, CA 94089 (Lakewood area)",2020-01-15,"Python , Linux , git , security , Security , Search , networking , deployment , build , command , repository , Logstash , line",https://www.indeed.com/viewjob?jk=4e17e242524fa80e,4e17e242524fa80e,indeed,Juniper Networks developer
new,Software Engineer Staff,Juniper Networks,"Sunnyvale, CA 94089 (Lakewood area)",2020-01-15,"Python , UNIX , networking , automation , Routing , frameworks , position , cloud",https://www.indeed.com/viewjob?jk=52017d737813dd0d,52017d737813dd0d,indeed,Juniper Networks developer
new,Software Engineer 4,Juniper Networks,"Sunnyvale, CA 94089 (Lakewood area)",2020-01-15,"C , Linux , performance , Debugging , UNIX , networking , deployment , architecture , background , embedded , Embedded , kernel , Kernel , processing , field",https://www.indeed.com/viewjob?jk=142963a70b01d658,142963a70b01d658,indeed,Juniper Networks developer
