status,title,company,location,date,tags,link,id,provider,query
new,Staff Automation Engineer,Visa,"Austin, TX",2020-02-12,"Java , Spring , API , Selenium , testing , Soap , deployment , automation , get , frameworks , stack , position , client , Cloud , processing",https://www.indeed.com/viewjob?jk=4925deaa79a76263,4925deaa79a76263,indeed,Visa developer
new,Senior Staff Software Engineer - Java/Backend (REF24324S) -...,Visa,"Austin, TX",2020-01-15,"Java , SQL , JSON , XML , database , Spring , REST , web , mobile , service , build , interface , automation , architecture , Architecture",https://www.indeed.com/viewjob?jk=38f6b3aebfa07f59,38f6b3aebfa07f59,indeed,Visa developer
new,Associate Software Test Engineer (New College Grad),Visa,"Denver, CO",2020-02-13,"excel , testing , Testing , process , Automation , position , Client , processing",https://www.indeed.com/viewjob?jk=3951cdada2301496,3951cdada2301496,indeed,Visa developer
new,"Staff Software Engineer, Real Time Payments (REF24378W) - Vi...",Visa,"Foster City, CA 94404 (Town Center area)",2020-01-15,"go , mobile , build , position , processing",https://www.indeed.com/viewjob?jk=2257b65664904db3,2257b65664904db3,indeed,Visa developer
new,Application Programmer Analyst,Visa,"Ashburn, VA",2020-01-15,"security , testing , build , transactions , find , position , Client",https://www.indeed.com/viewjob?jk=733db3e3ef5e33b6,733db3e3ef5e33b6,indeed,Visa developer
new,Senior Software Engineer in Test (REF24450K) - Visa Digital...,Visa,"Austin, TX",2020-01-17,"Java , JAVA , MySQL , Eclipse , Oracle , performance , REST , API , Selenium , testing , web , mobile , SOAP , service , build",https://www.indeed.com/viewjob?jk=0ac2627d727a2832,0ac2627d727a2832,indeed,Visa developer
new,Sr. Software Engineer,Visa,"Austin, TX",2020-02-07,"Javascript , Java , C# , python , HTML , CSS , Security , Deployment , Build , architecture , position , Client , processing , Processing",https://www.indeed.com/viewjob?jk=a2792bad779cb011,a2792bad779cb011,indeed,Visa developer
new,Cybersecurity Engineer,Visa,"Austin, TX",2020-02-08,"Javascript , Java , C++ , MySQL , SQL , C , Swift , Windows , Oracle , REST , API , HTTP , security , Security , go",https://www.indeed.com/viewjob?jk=78a8f845a432ac97,78a8f845a432ac97,indeed,Visa developer
new,"Director, Mobile Development (REF22124Q) - Visa Digital Deve...",Visa,"Austin, TX",2020-01-31,"Android , iOS , security , mobile , Mobile , build , architecture , stack , position , processing , Token",https://www.indeed.com/viewjob?jk=b56f355aa3ce4bfa,b56f355aa3ce4bfa,indeed,Visa developer
new,"Director, Visa Installments - Visa Digital Developer Platfor...",Visa,"Austin, TX",2020-01-15,"Java , performance , function , class , security , mobile , build , architecture , transactions , stack , position , client , focus , processing",https://www.indeed.com/viewjob?jk=226d3aae6c155b3f,226d3aae6c155b3f,indeed,Visa developer
new,Sr. Data Engineer (REF21633Y) - Visa Digital Developer Platf...,Visa,"Austin, TX",2020-01-15,"Java , Python , SQL , build , Hive , process , position , PowerBI , Streaming , focus , regression , processing , Token , field",https://www.indeed.com/viewjob?jk=322034664681d8fd,322034664681d8fd,indeed,Visa developer
new,Sr Software Engineer (REF24752S) - Visa Digital Developer Pl...,Visa,"Foster City, CA 94404 (Town Center area)",2020-02-07,"Javascript , JavaScript , Java , HTML , CSS , Angular , ReactJS , GIT , performance , Apache , REST , Tomcat , asynchronous , web , Web",https://www.indeed.com/viewjob?jk=d18cc18893dcf511,d18cc18893dcf511,indeed,Visa developer
new,Senior Software Test Engineer (REF24575D) - Visa Digital Dev...,Visa,"Austin, TX",2020-02-06,"JAVA , shell , Selenium , Unix , Jenkins , testing , web , mobile , automation , scripting , position , processing , field",https://www.indeed.com/viewjob?jk=da2b0af4ac97f444,da2b0af4ac97f444,indeed,Visa developer
new,"Staff Software Engineer, Backend Java (REF17011J) - Visa Dig...",Visa,"Austin, TX",2020-01-15,"Java , SQL , JSON , XML , database , Spring , REST , security , go , debugging , testing , web , input , mobile , dynamic",https://www.indeed.com/viewjob?jk=7b6b74ac0e06b10e,7b6b74ac0e06b10e,indeed,Visa developer
new,Senior Software Engineer - Java/Backend (REF24308E) - Visa D...,Visa,"Austin, TX",2020-01-15,"Java , SQL , JSON , XML , database , Spring , REST , go , debugging , testing , web , input , mobile , dynamic , service",https://www.indeed.com/viewjob?jk=ef17d76e93e415ce,ef17d76e93e415ce,indeed,Visa developer
