status,title,company,location,date,tags,link,id,provider,query
new,"Head of Self-Service, Developer and Enterprise Solutions",Twitter,"New York, NY",2020-02-12,"function , API , Twitter , service , build , process , automation , model , location , range , iteration , position , client , report",https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=283198&s=58&guid=000001704712bce5a7af9964ca66a066&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&cs=1_7ffd6766&cb=1581740375777&jobListingId=3487993678,3487993678,glassdoor,Twitter developer
new,Data Scientist 2- Developer and Enterprise Solutions,Twitter,"Boulder, CO",2020-02-07,"Python , Scala , Hadoop , select , Twitter , build , process , statistics , stack , Cloud , size , processing",https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=4120&s=58&guid=000001704712bce5a7af9964ca66a066&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&cs=1_796c19af&cb=1581740375794&jobListingId=3484175879,3484175879,glassdoor,Twitter developer
new,Software Engineer- Ad Serving,Twitter,"Boston, MA",2020-02-14,"performance , rest , Hadoop , asynchronous , Twitter , service , server , concurrency , build , Redis , Cassandra , process , Process , architecture , get",https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=4120&s=58&guid=000001704712bce5a7af9964ca66a066&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&cs=1_2868e0eb&cb=1581740375795&jobListingId=3312839424,3312839424,glassdoor,Twitter developer
new,Software Engineer - Full-Stack - Twitter Revenue Experience,Twitter,"Seattle, WA",2020-02-03,"Javascript , CSS , Reactjs , API , testing , web , twitter , Twitter , server , Server , build , Mapreduce , frameworks , iteration , expression",https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=176976&s=58&guid=000001704712bce5a7af9964ca66a066&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&cs=1_de5e3ef4&cb=1581740375796&jobListingId=3479956203,3479956203,glassdoor,Twitter developer
new,Software Engineer Developer Productivity - Engineering Effectiveness,Twitter,"Seattle, WA",2020-02-02,"JavaScript , Java , Python , C++ , Objective-C , Swift , Scala , debugging , testing , search , dynamic , Twitter , Server , build , Build",https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=211113&s=58&guid=000001704712bce5a7af9964ca66a066&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&cs=1_2d74205c&cb=1581740375799&jobListingId=3479324630,3479324630,glassdoor,Twitter developer
new,Software Engineer -(Backend Tools)-Engineering Effectiveness,Twitter,"San Francisco, CA",2020-02-13,"Java , Python , Scala , github , dynamic , Twitter , set , components , expression , field",https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=4120&s=58&guid=000001704712bce5a7af9964ca66a066&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&cs=1_3824d2b0&cb=1581740375801&jobListingId=3336068809,3336068809,glassdoor,Twitter developer
new,Software Engineer (Backend) - Direct Messages,Twitter,"Boulder, CO",2020-02-12,"Java , performance , API , asynchronous , testing , web , memory , Twitter , concurrency , JVM",https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=4120&s=58&guid=000001704712bce5a7af9964ca66a066&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&cs=1_2b396238&cb=1581740375800&jobListingId=3442570308,3442570308,glassdoor,Twitter developer
new,Software Engineer (Distributed Systems) - Health Core Infrastructure,Twitter,"New York, NY",2020-02-02,"events , Twitter , build , runtime , processing , storage",https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=4120&s=58&guid=000001704712bce5a7af9964ca66a066&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&cs=1_4c91fec4&cb=1581740375803&jobListingId=3479669304,3479669304,glassdoor,Twitter developer
new,Software Engineer - Systems (Hiring Events),Twitter,"Washington, DC",2020-01-21,"Java , performance , Hadoop , testing , events , search , Twitter , service , Redis , Cassandra , notifications , stream , focus , accessibility",https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=4120&s=58&guid=000001704712bce5a7af9964ca66a066&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&cs=1_4c740c07&cb=1581740375802&jobListingId=3315764223,3315764223,glassdoor,Twitter developer
new,Sr. Staff Software Engineer- Revenue Platforms,Twitter,"San Francisco, CA",2020-01-25,"MySQL , performance , API , Hadoop , testing , events , button , search , video , mobile , Twitter , service , Redis , Cassandra , process",https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=779406&s=58&guid=000001704712bce5a7af9964ca66a066&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&cs=1_2beb0175&cb=1581740375805&jobListingId=3472275574,3472275574,glassdoor,Twitter developer
new,Prototype Developer - Contractor,Twitter,"San Francisco, CA",2020-02-14,"Javascript , Java , Python , CSS , Scala , web , Twitter , printing , merge , server , build , Arduino , stack , iteration , client",https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=4120&s=58&guid=000001704712bce5a7af9964ca66a066&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&cs=1_b3851f0d&cb=1581740375807&jobListingId=3311529921,3311529921,glassdoor,Twitter developer
new,Software Engineer - Performance Tools,Twitter,"New York, NY",2020-02-08,"email , Twitter , view , request , location",https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=283198&s=58&guid=000001704712bce5a7af9964ca66a066&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&cs=1_467083a0&cb=1581740375809&jobListingId=3485246226,3485246226,glassdoor,Twitter developer
new,Machine Learning Software Engineer,Twitter,"San Francisco, CA",2020-02-14,"image , performance , Hadoop , testing , math , video , text , twitter , Twitter , graph , Graph , build , Redis , Cassandra , model",https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=4120&s=58&guid=000001704712bce5a7af9964ca66a066&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&cs=1_fe7c81eb&cb=1581740375810&jobListingId=3311650719,3311650719,glassdoor,Twitter developer
new,Software Engineer - Capacity Planning (Backend),Twitter,"San Francisco, CA",2020-01-29,"JavaScript , Java , Python , performance , Go , debugging , optimization , Twitter , deployment , automation , report , focus",https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=4120&s=58&guid=000001704712bce5a7af9964ca66a066&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&cs=1_c76b8512&cb=1581740375812&jobListingId=3323133553,3323133553,glassdoor,Twitter developer
new,"Software Engineer, Systems - Discovery",Twitter,"San Francisco, CA",2020-01-31,"MySQL , Scala , performance , Hadoop , session , testing , Testing , Twitter , build , Redis , Cassandra , Notifications , set , find , Command",https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=4120&s=58&guid=000001704712bce5a7af9964ca66a066&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&cs=1_c8b118b7&cb=1581740375811&jobListingId=3433448326,3433448326,glassdoor,Twitter developer
new,Software Engineer - Machine Learning Platform - Cortex,Twitter,"San Francisco, CA",2020-02-11,"C++ , Performance , tensorflow , Tensorflow , optimization , Twitter , process , model , CUDA , frameworks , range , runtime , focus , expression , Pytorch",https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=4120&s=58&guid=000001704712bce5a7af9964ca66a066&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&cs=1_135faba5&cb=1581740375814&jobListingId=3462215669,3462215669,glassdoor,Twitter developer
new,Software Engineer - Big Data Engineering,Twitter,"San Francisco, CA",2020-02-14,"Java , python , database , performance , Hadoop , events , Twitter , build , Hive , MapReduce , processing , field",https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=4120&s=58&guid=000001704712bce5a7af9964ca66a066&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&cs=1_7c1dbd51&cb=1581740375813&jobListingId=3311661267,3311661267,glassdoor,Twitter developer
new,Software Engineer (Systems) - Health Machine Learning Infrastructure,Twitter,"New York, NY",2020-02-11,"performance , testing , Twitter , service , set , find , signals",https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=283198&s=58&guid=000001704712bce5a7af9964ca66a066&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&cs=1_3aebee40&cb=1581740375815&jobListingId=3487107493,3487107493,glassdoor,Twitter developer
new,Software Engineer - Data and Enterprise Solutions,Twitter,"Boulder, CO",2020-02-14,"Twitter , build , architecture , stream , NoSQL , streaming , processing , aggregate",https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=4120&s=58&guid=000001704712bce5a7af9964ca66a066&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&cs=1_67c1469b&cb=1581740375818&jobListingId=3311609259,3311609259,glassdoor,Twitter developer
new,Sr Software Engineer - Conversations Infrastructure,Twitter,"San Francisco, CA",2020-02-14,"Java , Python , Ruby , Scala , debugging , Twitter , build , get , tree , resources , field",https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=283198&s=58&guid=000001704712bce5a7af9964ca66a066&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&cs=1_d06c1918&cb=1581740375817&jobListingId=3491362067,3491362067,glassdoor,Twitter developer
new,Software Engineer- Data Platform,Twitter,"Boulder, CO",2020-01-30,"Java , Scala , security , Hadoop , events , Twitter , build , process , get , frameworks , processing , storage",https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=4120&s=58&guid=000001704712bce5a7af9964ca66a066&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&cs=1_74197207&cb=1581740375819&jobListingId=3432179748,3432179748,glassdoor,Twitter developer
new,ML Infrastructure Software Engineer,Twitter,"Boulder, CO",2020-02-08,"Java , function , API , class , OOP , testing , web , Twitter , build , scripting , find , components , cloud , focus , expression",https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=4120&s=58&guid=000001704712bce5a7af9964ca66a066&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&cs=1_19b914d7&cb=1581740375820&jobListingId=3460788575,3460788575,glassdoor,Twitter developer
new,Staff Software Engineer - Backend (Tweet Services),Twitter,Remote,2020-01-25,"list , Scala , go , testing , Twitter , graph",https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=4120&s=58&guid=000001704712bce5a7af9964ca66a066&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&cs=1_b9544dfd&cb=1581740375779&jobListingId=3472612050,3472612050,glassdoor,Twitter developer
