Title,Company,link,Blurb
Engineering Manager - Innovation,Exabeam,https://www.indeed.com/viewjob?jk=0090fbe68e5d3c80,"Exabeam provides security intelligence and management solutions to help organizations of any size protect their most valuable information. The Exabeam Security Management Platform uniquely combines a data lake for unlimited data collection at a predictable price, machine learning for advanced analytics, and automated incident response into an integrated set of products. The result is the first modern security intelligence solution that delivers where legacy security information and event management (SIEM) vendors have failed.

Position Overview

We are looking for an engineering manager that will lead Exabeams growing innovation team, reporting to the VP of Research and Innovation. A software engineering manager with a passion to tackle innovation projects and prototype new ideas as part of the research and innovation group. You will lead the team that is responsible for taking Exabeam forward by working on new ideas and prototypes that are on the bleeding edge of security, directly contributing to the Exabeam products evolution.

Collaborate with a team of security domain experts, data scientists, product engineers and product managers to create new products and technologies.
Support the product team by designing and building prototypes for emerging products and explore new technology stacks
Lead and mentor a team of engineers to always improve
Projects may include but are not limited to: building product prototypes, advanced customizations and algorithms, detection techniques and production services.
Qualifications
5+ years of experience in development and implementation roles with an established project portfolio
At least 2 years experience in leading a team
Four-year university degree required
Comfortable working under general guidance with minimal close supervision
Full stack experience of both backend and frontend, focused on Python backend and modern frontend stacks to solve comprehensive technical challenges
Project & Process
Work with researchers and product management to define and scope prototypes
Manage conflicting priorities
Fail fast methodology, plan projects in milestones that allow examination of progress and taking progression decisions early on
Ownership of quality as well as field testing of prototypes both internally and with design partners
Fully experienced with development practices such as Agile, CI/CD and software tools
Management
Managed a team of developers either domestically, internationally or both
Attract, hire and retain talent
Performance assessment, improvement and mentorship
Communication with the team and across the company
Exabeam is privately funded by Aspect Ventures, Cisco Investments, Icon Ventures, Lightspeed Venture Partners, Norwest Venture Partners and well-known security investor Shlomo Kramer. For more information, visit https://www.exabeam.com or follow us on Twitter @exabeam.

#LI-SM1"
Senior Infrastructure Engineer,Exabeam,https://www.indeed.com/viewjob?jk=88b9f72e03f26715,"Exabeam is the Smarter SIEM company. We help security operations and insider threat teams work smarter, allowing them to detect, investigate and respond to cyberattacks in 51 percent less time. Security organizations no longer have to live with excessive logging fees, missed distributed attacks and unknown threats, or manual investigations and remediation. With the modular Exabeam Security Management Platform, analysts can collect unlimited log data, use behavioral analytics to detect attacks, and automate incident response, both on-premise or in the cloud. Exabeam Smart Timelines, sequences of user and device behavior created using machine learning, further reduce the time and specialization required to detect attacker tactics, techniques and procedures.

Position Overview

We are looking for a Sr. Infrastructure Engineer to join a team building our next generation product/service. This is a SaaS, multi-tenant, microservices based, very large-scale cloud native application that will ingest and process in real time petabytes of data. As part of the initial team you will have the opportunity to help define and build the complete infrastructure for the product. This is a rare opportunity for a developer who loves to make a huge impact in a brand-new product using the latest technologies.

You are a very strong software engineer who is passionate about large-scale systems. You care about producing clean, elegant, maintainable, robust, well-tested code and infrastructure; you enjoy collaborating with others to come up collectively with the best possible solution. You have experience with performance, scalability, and reliability issues of large 24x7 systems.
Responsibilities
Design, build, and maintain virtualized and scalable infrastructure through reusable code and tooling
Use data to understand the availability, reliability, and sustainability of our infrastructure
Design & build high-performant, reliable systems which scale effectively as the service grows
You will get the opportunity to work on clusters that can ingest multiple terabytes of data per day
Minimum Requirements
Take pride in delivering a top-quality product
Experience building highly available systems at scale
Build infrastructure automation
Work with Docker
Operate in high-level languages such as Ruby, Python, and Bash
Understand the Linux operating system at both a high and low level
Draw on both system design and software engineering concepts and blend those perspectives based on project needs
Communicate well, enthusiastically engage with your teammates in group problem solving
Preferred Qualifications
Experience with Docker and Kubernetes and related cloud native technologies (Terraform, fluentd, Prometheus, Istio, etc.)
Focus on IaC (Infrastructure as code)
Experience with distributed data processing system (Akka, Spark, Kafka, Storm, Hadoop, others.)
Experience with microservice architectures
Demonstrated understanding of container networking including security
Experience with capacity planning for large, multi-tier web systems
Why work at Exabeam?
Unique opportunity to be part of the initial engineering team to help define and shape a brand-new product/service. Unique chance to start writing code/infrastructure from scratch
Work with a top-notch team of smart, motivated engineers, pushing the envelope to produce the larger and most advanced real time security data processing engine
Technically challenging and very interesting problem. Opportunity to work with the latest technologies in distributed systems, machine learning, and high-volume data processing
Exabeam is privately funded by Lightspeed Venture Partners, Cisco Investments, Norwest Venture Partners, Acrew Capital, Icon Ventures, and investor Shlomo Kramer. For more information visit https://www.exabeam.com or follow us on LinkedIn and Twitter."
.NET Developer,Edmunds GovTech,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=389273&s=58&guid=0000017060d702a18978c948eb6a095b&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&ea=1&cs=1_3bf1585f&cb=1582172668796&jobListingId=3489579748,".css-1noe2rc *{color:#505863;line-height:1.4em;}.css-1noe2rc .ecgq1xb1{padding-left:0;}.css-1noe2rc .ecgq1xb1 .ecgq1xb0{margin:0 0 8px 0;}.css-1noe2rc ol,.css-1noe2rc ul{padding-left:32px;}.css-1noe2rc li{margin:10px;margin-bottom:5px;margin-left:20px;line-height:1.4em;}.css-58vpdc{margin-bottom:24px;}.css-58vpdc ul{margin:5px 0 10px 20px;}.css-58vpdc ul > br{display:none;}.css-58vpdc ul > li{margin-left:0;}.css-58vpdc li{padding:0;}About Edmunds GovTech

Edmunds GovTech is a leading provider of cloud-based software solutions designed to help local government agencies streamline operations, increase productivity and better serve their communities. With over 45 years of local government experience, Edmunds GovTech serves over 1,900 local government agencies across 26 states with industry-curated offerings addressing financial management, personnel management, revenue management, municipal management, parks and recreation and civic engagement. Edmunds GovTech is headquartered in Northfield, NJ and, through its 2019 acquisitions of Business Automation Services and Logics, LLC, now has offices in Clifton Park, NY and Raleigh, NC. We are in search of qualified and passionate people to innovate and grow with us in the service of our customers.

Position Description

We're looking to add an experienced .NET Developer to our Edmunds GovTech Team in Northfield, NJ. Please read and review the responsibilities and qualifications below to see if you are a fit for this position.

Duties and Responsibilities

Perform design, implementation, and maintenance of relatively complex modulesPerform a mix of maintenance, enhancements and new development as requiredPerform bug verification, release testing, and beta support for assigned productsPerform code review sessions with other developers and suggest improvements or alternate strategiesResearch issues discovered by tech support and end-users and develop solutions to resolveDevelop and update design and functional documentationAssist with the creation of task-level project plans that detail the tasks required to deliver a solutionWork closely with a small team to ensure that client expectations are met and that project schedules are adhered toMeet stipulated deadlinesCollaborate with technical and non-technical colleagues to complete projects

Skills and Qualifications

Bachelors degree in Computer Science or relevant work experienceStrong knowledge of .NET framework and MVC design patternProficient in C# and/or Visual BasicPossess skills in .NET Core, ASP.NET, VB.NET, Web Forms, and/or SQL databasesAWS, Azure, DevOps and CI/CD experience a plusUnderstanding of GIT and/or SVNAbility to juggle multiple projects and shifting prioritiesExperience developing software using a formal and structured development methodologyFormal testing and software quality assurance experience preferredUnderstanding of quality assurance and release management process a plusQualified candidates will have strong analytical and problem-solving skills

Edmunds GovTech is an equal opportunity employer. All candidates for employment will be considered without regard to race, color, religion, sex, national origin, physical or mental disability, veteran status, or any other basis protected by applicable federal, state, or local law.

Job Type: Full-time

Benefits:

Health insuranceDental insuranceVision insuranceRetirement planPaid time offParental leaveProfessional development assistanceTuition reimbursement"
Publishing Producer - Riot Forge,Riot Games,https://www.indeed.com/viewjob?jk=fe0bab2af7e48a8a,"Production at Riot Games help lead the vision of each product across the finish line and help deliver experiences beyond the audience's expectations. We're involved in almost every product you can think of, be it an epic new skin, the Mechs vs. Minions board game, or the internal tools needed by engineers or artists to speed up their craft. Whatever the calling, we provide solutions that our audience needs.

As a Producer, you'll maintain the relationships between our internal team and our external development studios to verify we are making the best possible games. By building relationships and inspiring our developers to collaborate, you will guide quality projects from Riot into players hands. You will help concept, deliver, improve, and influence game development with our partner studios at each stage of production. Are you up for the challenge?

Riot Forge is Riot's take on player and developer-focused publishing (for more info on Riot Forge, click here ( https://riotforgegames.com/ )!). As a Publishing Producer within Riot Forge, you will report to the Executive Producer, and work with external developers to guarantee our portfolio of games are high-quality and fun for players. You will build relationships with developers and teams at Riot. You will ensure that the team is set up for success at every stage of project development. Working as a member of the team, you will encourage knowledge sharing and standard methodologies to ensure we always work at a high standard and are thoughtful partners to our developers.

----------------
Responsibilities
----------------


You will operate across multiple titles simultaneously across a plethora of platforms and external teams
Ensure our products are achieving strategic portfolio and business goals
You'll guide developers through goals and metric setting and conduct regular product reviews
Create understanding and set expectations upwards and downwards
Provide updates and visibility on the project status to the leadership team and fellow producers
You ensure we are working with the QA lead to verify that each game is tested and hits the quality targets
Partner with the Publishing Lead to develop the ""go to market"" plan
Build and handle the budget for each game, understanding trade-offs between time, cost, and scope
You feel comfortable speaking to a broad spectrum of topics to multiple teams, you are well versed in game production

------------------------

Required Qualifications:
------------------------


You have at least 4 years of experience in a Producer role
Experience working on both sides of game development - You have shipped at least one game on the publishing side and one game as part of a development studio
Experience overseeing the full lifecycle of game development and fully understand game production
Experience with 1st parties, age ratings, legal and shipping games on a variety of platforms including PC, console, and mobile
Experience working with legal on partner contracts
Experience with iterative development methodologies like Scrum & Agile, and have used supporting software (i.e.: JIRA, Favro, Hansoft)
Personable, your demeanor diffuses conflicts and puts people at ease
You understand player resonance and know what makes a good game, and what defines quality for players
Travel up to 20% of the time

-----------------------

Desired Qualifications:
-----------------------


Experience working on a variety of gaming genres
Experience working with audience motivations and segmentation
Knowledgeable about the gaming industry including newest trends and events

----------

Our Perks:
----------


Full relocation support
Full health insurance for you, your spouse and children
Open paid time off
Retirement benefits with company matching
Life insurance, parental leave, plus short-term and long-term disability
Play Fund so you can broaden and deepen your knowledge of our players and community through games
We will double down on your donations of time and money to non-profits

===

It's our policy to provide equal employment opportunity for all applicants and members of Riot Games, Inc. Riot Games makes reasonable accommodations for handicapped and disabled Rioters and does not unlawfully discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, handicap, veteran status, marital status, criminal history, or any other category protected by applicable federal and state law, including the City of Los Angeles' Fair Chance Initiative for Hiring Ordinance relating to an applicant's criminal history (LAMC 189.00).

Don't forget to include a resume and cover letter. We receive a lot of applications, but we'll notice a fun, well-written intro that shows us you take play seriously."
Software Architect - Player Platform: Riot SDK,Riot Games,https://www.indeed.com/viewjob?jk=7d706f86a34ddb13,"Riot Engineers bring deep knowledge of specific technical areas but also value the opportunity to work in many broader domains. As a Software Architect, you'll build creative solutions to improve Riot's multi-game ecosystem while integrating existing platforms and APIs.

As a Software Architect on the Riot Platform SDK team, you'll lead a newly founded and passionate team looking to provide software development kits to Riot game developers. This team creates development tools for Riot's internal game teams as well as external game studios who are looking to build games powered by Riot's Player Platform. You will partner with your technical product manager in defining a technical roadmap supporting the product's vision for the foreseeable future. You will report directly to the initiative engineering leader for Player Platform.

On the Player Platform team, we look to achieve incredible developer experiences and capabilities for Riot's game teams working across console, mobile, and PC development environments; game engine middleware such as Unity 3D, Unreal Engine and internal Riot game engines; 1st and 3rd party technologies and SDKs.

Responsibilities:
-----------------


Build Riot's Platform SDK technical strategy, bringing Riot's Player Platform capabilities to game developers
Develop a technical strategy for making game development as consistent across gaming platforms such as PCs, mobile devices and gaming consoles
Lead a team of 6-10 software engineers ranging from associate to senior level
Lead architecture and solutions supporting platform integrations with game engines such as Unity 3D, Unreal Engine and internal natively built game engines
Lead and establish technical guidelines for software developers either building platform SDK capabilities or integrating with platform SDKs and tools
Partner with project leads and quality leads in defining and grooming high-level user stories
Be an individual contributor on the team, where appropriate building out reference implementations, tackling challenging and ambiguous technical solutions, conducting design, and coding reviews
Manage the quality of your team's technical outputs, ensuring it meets Riot's standards, RPG's standard and Player Platform's standards
Lead multiple work streams in defining technical outcomes, tools and solutions that create cohesive and natural developer experiences for Riot's game developers

Required Qualifications:
------------------------


10+ years of experience in a software engineering role (i.e. software, systems, architecture)
3+ years of experience working in a technical leadership role, guiding engineering principals, design and implementation
BS in Computer Science or equivalent years of job experience across software
Experience with two or more of the following programming languages: C/C++, Java, C#, Objective-C/Swift
Experience with two or more of the following platforms: Microsoft Windows OS (desktop), iOS or Android OS (mobile), Xbox One, PlayStation 4, Nintendo Switch (console)

Desired Qualifications:
-----------------------


Experience leading software products that support multiple platforms and operating systems (Windows, Mac, iOS, Android, Xbox, PlayStation, Nintendo, etc.)
Expertise in defining and delivering complex technical solutions to technical customers/users
Excellent presentation capabilities, able to present clearly and concisely to various partners, customers, and leaders at Riot

Our Perks:
----------

We offer medical, dental, and vision plans that cover you, your spouse/domestic partner, and children. Life insurance, parental leave, plus short-term and long-term disability coverage are also available. Riot will support your retirement benefits with a company match, and double down on your donations of time and money to non-profit charitable organizations. Balance between work and personal life is encouraged with open paid time off, and a play fund so you can broaden and deepen your personal relationship with games.

It's our policy to provide equal employment opportunity for all applicants and members of Riot Games, Inc. Riot Games makes reasonable accommodations for handicapped and disabled Rioters and does not unlawfully discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, handicap, veteran status, marital status, criminal history, or any other category protected by applicable federal and state law, including the City of Los Angeles' Fair Chance Initiative for Hiring Ordinance relating to an applicant's criminal history (LAMC 189.00)."
Illustrator - League of Legends Marketing,Riot Games,https://www.indeed.com/viewjob?jk=97e710e2654ba5c5,"As part of the Illustration team, you'll put stylus to Cintiq and create promotional art that represents the essence of a champion, thematic, or gameplay to millions of players. You will use your artistic eye and keen understanding of dynamic lighting, form, and color to tell concise and evocative stories. By closely collaborating with a team of dedicated illustrators, visual designers, writers, animators and game developers, you will help define and illustrate each champion's unique place in our universe

As an Illustrator on League of Legends Marketing, you will report to an Associate Art Director. In this role you will bring a universe to life through key art illustrations to be used across a variety of platforms, artwork that showcases everything from champions to little legends in a variety of art styles as they apply to different games and thematics.

-----------------

Responsibilities:
-----------------


Execute high quality illustrations and iterations based on feedback
Consistently adheres to Style Guides
Active member of your craft community
Seeks growth with assistance from manager and team
Adheres to team rituals and deadlines and participates in their facilitation
Provide hands-on and verbal feedback to outsourcers

------------------------

Required Qualifications:
------------------------


3+ years' experience in entertainment or marketing industry
Skills in 3D/2D Software - Maya, ZBrush, Photoshop and Substance Painter/Designer
Showcase ability to paint in a variety of art style
Experience with marketing creative development

-----------------------

Desired Qualifications:
-----------------------


Experience working in-house with creative teams
Experience owning and effectively communicating about projects and workflow
AAA Game Development experience
Experience in Visual Development or world building for games, film, or animation
Familiarity with motion graphics pipeline

For this role, you'll find success through craft expertise, a collaborative spirit, and decision-making that prioritizes the delight of players. We will be looking at your past studies, experience, and your personal relationship with games. If you embody player empathy and care about the experiences of players, this could be the role for you!

----------

Our Perks:
----------

We offer medical, dental, and vision plans that cover you, your spouse/domestic partner, and children. Life insurance, parental leave, plus short-term and long-term disability coverage are also available. Riot will support your retirement benefits with a company match, and double down on your donations of time and money to non-profit charitable organizations. Balance between work and personal life is encouraged with open paid time off, and a play fund so you can broaden and deepen your personal relationship with games.

It's our policy to provide equal employment opportunity for all applicants and members of Riot Games, Inc. Riot Games makes reasonable accommodations for handicapped and disabled Rioters and does not unlawfully discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, handicap, veteran status, marital status, criminal history, or any other category protected by applicable federal and state law, including the City of Los Angeles' Fair Chance Initiative for Hiring Ordinance relating to an applicant's criminal history (LAMC 189.00)."
Product Manager - Legends of Runeterra,Riot Games,https://www.indeed.com/viewjob?jk=4408dd389e4c0894,"As a Product Manager at Riot, you'll lead a team of talented developers and guide efforts to ship creative gameplay systems and features. You will work with your team to collaboratively craft a compelling product vision and lead the team through execution of that vision. Every day, you will make important decisions to react to new information, prioritize efforts, and create a healthy team environment.

Legends of Runeterra (LoR) is our new collectible card game featuring beloved Champions from the League of Legends universe. As a Product Manager on this team, you'll report to the Initiative product lead and lead efforts to provide player-focused features in the Metagame Systems space. You will collaborate with teams and features across the entire game to build memorable events and moments, and develop features that challenge genre conventions and evolve the LoR experience.

-----------------

Responsibilities:
-----------------


Establish the vision for features in addition to driving the organization and delivery of team's feature work.
Communicate the vision of features and hold team accountable to broader team, players and partners.
Partner with cross-discipline leads to support a healthy, empowered team
Prioritize work for the team on an ongoing basis and make important on-the-ground calls to keep the team moving
Oversee the daily team production operations, Including growing a clean and up-to-date work backlog, facilitating team meetings and decisions.
Identify risks and mitigation, leading the team through execution of product vision.
Determine and ensure work meets definition of done.
Track and Report- Sprint commitment tracking, velocity tracking on sprint and release, dependency and risk tracking, quality tracking (bug count, bug velocity, subjective quality post ship), rolling progress back into master project tracking.

------------------------

Required Qualifications:
------------------------


A minimum of 5 years' experience shipping games in a production role
Experience leading teams through feature development (planning, execution, delivery, post-release support, etc.)

-----------------------

Desired Qualifications:
-----------------------


Experience with live games
Passion for strategy games with an affinity to Collectible Card Games

For this role, you'll find success through craft expertise, a collaborative spirit, and decision-making that prioritizes the delight of players. We will be looking at your past studies, experience, and your personal relationship with games. If you embody player empathy and care about the experiences of players, this could be the role for you!

---------
Our Perks
---------


Full relocation support
Full health insurance for you, your spouse and children
Open paid time off
Retirement benefits with company matching
Life insurance, parental leave, plus short-term and long-term disability
Play Fund so you can broaden and deepen your knowledge of our players and community through games
We will double down on your donations of time and money to non-profits

It's our policy to provide equal employment opportunity for all applicants and members of Riot Games, Inc. Riot Games makes reasonable accommodations for handicapped and disabled Rioters and does not unlawfully discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, handicap, veteran status, marital status, criminal history, or any other category protected by applicable federal and state law, including the City of Los Angeles' Fair Chance Initiative for Hiring Ordinance relating to an applicant's criminal history (LAMC 189.00)."
"Concept Artist, Character - Unpublished Tactical FPS",Riot Games,https://www.indeed.com/viewjob?jk=51b99faa178447e7,"As a Character Concept Artist at Riot, you will bring characters and creatures to life. Drawing inspiration from as little as a napkin sketch or as much as a full-blown narrative concept, you will generate ideas and craft designs that are resonant, compelling and iconic. As a problem solver, first and foremost, you will help come up with visual solutions for game concepts.

Project A is Riot's take on a character-based tactical shooter (for more info on Project A click here! ( https://www.riotgames.com/en/project-a )). As a Concept Artist on the team, you will create and improve characters for Project A. You will keep the players' experience in mind as you work across disciplines to help build foundational ideas and concepts. You will also work collaboratively with designers, writers, and producers to bring new characters to life.

Responsibilities:
-----------------


Build, sketch, ideate, and iterate new character concepts in collaboration with other developers
Craft detailed concept art and orthographics for 3D artists and animators to implement into working game assets
Creatively solve problems and figure out efficient solutions on executing the look and feel of the character
Collaborate closely with other disciplines to build characters that are both narrative and visually cohesive
Take your skillful knowledge of story tropes, archetypes, and narrative devices of all kinds to help improve the designs that go into our worlds
Bring your deep understanding of human and animal anatomy and know how to stretch the limits while still maintaining a consistent art direction
Guide and mentor other teammates

Required Qualifications:
------------------------


2+ years of experience in the video game industry as a Character Concept Artist
Professional experience working with Photoshop

Desired Qualifications:
-----------------------


Shipped an AAA title as a Concept Artist
Experience working as a Concept Artist on an FPS title

Our Perks:
We offer medical, dental, and vision plans that cover you, your spouse/domestic partner, and children. Life insurance, parental leave, plus short-term and long-term disability coverage are also available. Riot will support your retirement benefits with a company match, and double down on your donations of time and money to non-profit charitable organizations. Balance between work and personal life is encouraged with open paid time off, and a play fund so you can broaden and deepen your personal relationship with games.

It's our policy to provide equal employment opportunity for all applicants and members of Riot Games, Inc. Riot Games makes reasonable accommodations for handicapped and disabled Rioters and does not unlawfully discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, handicap, veteran status, marital status, criminal history, or any other category protected by applicable federal and state law, including the City of Los Angeles' Fair Chance Initiative for Hiring Ordinance relating to an applicant's criminal history (LAMC 189.00)."
"Senior Manager, Development Management - Riot Data Products",Riot Games,https://www.indeed.com/viewjob?jk=d1c247e1cce4e331,"A Senior Manager of Development Management at Riot ensures the members of the cross disciplined teams can move products and features through the development cycle and out to the customers. You're obsessed with understanding how the needs of the customer, the direction of the business, the health of the team and that the critical elements of our products are translated into action.

As a Senior Manager of Development Management on the Riot Data Products team (RDP), you will work with the Head of Data and the leadership team. You will define the processes for delivering large-scale data products. You'll help shape the operational strategy to encourage ownership and delivery excellence within RDP.

---------------------

Key responsibilities:
---------------------


Develop and execute the operational strategy of RDP
Develop work systems such as how teams report status, how multi-team work is coordinated, or how risks are diagnosed and addressed
Ensure all teams within RDP make and meet commitments
Ensure processes are optimized for developer effectiveness
Ensure customers are always up-to-date on existing commitments and delivery status
Ensure that conflicts within and between teams are resolved effectively
Ensure psychological safety, healthy feedback culture and conflict management within and between teams

------------------------

Required Qualifications:
------------------------


7+ years of experience managing and delivering large-scale projects
Experience using a deep toolkit of development methodologies
Experience in the design, operation, and improvement of scalable systems

-----------------------

Desired Qualifications:
-----------------------


Developed and executed processes for software products through the entire life cycle
Experience with SAFe methodology
For this role, you'll find success through craft expertise, a collaborative spirit, and decision-making that prioritizes your fellow Rioters, who are the customers of your work. Being a dedicated fan of games is not necessary for this position!

----------

Our Perks:
----------

We offer medical, dental, and vision plans that cover you, your spouse/domestic partner, and children. Life insurance, parental leave, plus short-term and long-term disability coverage are also available. Riot will support your retirement benefits with a company match, and double down on your donations of time and money to non-profit charitable organizations. Balance between work and personal life is encouraged with open paid time off, and a play fund so you can broaden and deepen your personal relationship with games.

===

It's our policy to provide equal employment opportunity for all applicants and members of Riot Games, Inc. Riot Games makes reasonable accommodations for handicapped and disabled Rioters and does not unlawfully discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, handicap, veteran status, marital status, criminal history, or any other category protected by applicable federal and state law, including the City of Los Angeles' Fair Chance Initiative for Hiring Ordinance relating to an applicant's criminal history (LAMC 189.00)."
"Producer, Mobile - Unpublished R&D Product",Riot Games,https://www.indeed.com/viewjob?jk=6aed4140d74328e4,"As a Producer, you'll lead passionate cross-functional teams in crafting creative content and incredible experiences for players around the world. By encouraging teams to collaborate, you'll drive development, smashing through obstacles and driving products into players' hands. You'll exceed expectations by helping concept, deliver, improve, and influence creative projects at every stage of production.

As a Producer within the R&D group at Riot, you will report to the R&D Senior Product Lead and work with our developers to lead production efforts in bringing mobile game products to market. You will build relationships with developers and internal partners at Riot. You will ensure that the team is set up for success at every stage of project development from: prototype and pre-production to launch and beyond as a key member of the development team.

-----------------

Responsibilities:
-----------------


Create a clean, up-to-date work backlog
Encourage team meetings and discussions
Support team by removing roadblocks and managing distractions
Direct all team rituals
Diverse work planning with estimations
Velocity tracking on sprint and release basis
Sprint / milestone commitment tracking
Dependency / risk tracking
Quality tracking (bug count, bug velocity, subjective quality post ship)
Track ALL work (planned, unplanned, emergent)
Roll progress back into master Project tracking methods
Direct all progress communications
Oversee partner management and communication
Keep partners consulted and informed on progress and bought in to discussions as needed for project success
Establish and ensure work meets definition of done
Update and track against common delivery checklist for shipping
Facilitate collaboration between the team, internal customers, and partners
Create team product roadmap that expresses the value being delivered (to players or other customers) with Senior Product Lead
Create team backlog with Senior Product Lead
Lead product discovery incorporating cross discipline perspectives (such as design, art, and engineering)
Get partner support on the ""why"" behind the team's work
Provide important product feedback and insight to the team and leadership
Be the advocate for team's game and decisions
Champion a player-focused mindset and be the voice of the player
Review and engage with players through popular channels (forums, events, etc). Understand the pulse of our players.

------------------------

Required Qualifications:
------------------------


4+ years of experience as a Mobile Game Producer with experience coordinating live games development and operations
Experience shipping multiple mobile games with production responsibility on important features and content
Knowledge of First Party timelines and processes
Experience scheduling and tracking development.
Experience leading teams through feature development (delivery, post-release support, etc.)

-----------------------

Desired Qualifications:
-----------------------


6+ years of experience as a Mobile Game Producer with experience coordinating live games development and operations
Experience with production tools like JIRA and Favro to track development and create reporting.

----------

Our Perks:
----------

We offer medical, dental, and vision plans that cover you, your spouse/domestic partner, and children. Life insurance, parental leave, plus short-term and long-term disability coverage are also available. Riot will support your retirement benefits with a company match, and double down on your donations of time and money to non-profit charitable organizations. Balance between work and personal life is encouraged with open paid time off, and a play fund so you can broaden and deepen your personal relationship with games.

----

It's our policy to provide equal employment opportunity for all applicants and members of Riot Games, Inc. Riot Games makes reasonable accommodations for handicapped and disabled Rioters and does not unlawfully discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, handicap, veteran status, marital status, criminal history, or any other category protected by applicable federal and state law, including the City of Los Angeles' Fair Chance Initiative for Hiring Ordinance relating to an applicant's criminal history (LAMC 189.00)."
